"Year","SumOfTotalVolume"
2003,6129
2004,61334
2005,23434
2006,28616
2007,135749
2008,1057721
2009,5510767
2010,7586168
2011,7766339
2012,8953097
2013,6538050
2014,9553953
2015,11419527
2016,16964264
2017,3723449
2018,1605706
