"Main","WeekDay","SumOfTotalVolume"
" WOODBINE AVE ","Thursday",51490
" WYNFORD DR ","Monday",46166
" WYNFORD DR ","Tuesday",62155
" YONGE ST ","Friday",45172
" YONGE ST ","Monday",584946
" YONGE ST ","Saturday",739399
" YONGE ST ","Thursday",278599
" YONGE ST ","Tuesday",736727
" YONGE ST ","Wednesday",1310108
" YORK BLVD ","Thursday",4332
" YORK BLVD ","Tuesday",22023
" YORK MILLS RD ","Tuesday",30008
" YORK MILLS RD ","Wednesday",402498
" YORK ST ","Saturday",12599
" YORK ST ","Thursday",26595
" YORK ST ","Tuesday",99916
" YORK ST ","Wednesday",58712
" YORKDALE 401 ALLEN N RAMP ","Thursday",20054
" YORKDALE RD ","Monday",28104
" YORKDALE RD ","Saturday",12265
" YORKDALE RD ","Tuesday",16643
" YORKDALE RD ","Wednesday",32759
" YORKLAND RD ","Monday",21480
" ZOO RD ","Sunday",3996
