"Main","WeekDay","SumOfTotalVolume"
" DON MILLS RD E ","Monday",16658
" DON MILLS RD E ","Thursday",19580
" DON MILLS RD W ","Wednesday",38918
" DONLANDS AVE ","Monday",17410
" DONLANDS AVE ","Saturday",19156
" DONLANDS AVE ","Thursday",26102
" DONLANDS AVE ","Tuesday",42446
" DORIS AVE ","Monday",26370
" DORIS AVE ","Thursday",65746
" DORIS AVE ","Wednesday",26638
" DOVERCOURT RD ","Saturday",31536
" DOVERCOURT RD ","Thursday",30512
" DREWRY AVE ","Wednesday",21238
" DUFFERIN ST ","Monday",638705
" DUFFERIN ST ","Saturday",352732
" DUFFERIN ST ","Thursday",29536
" DUFFERIN ST ","Tuesday",383965
" DUFFERIN ST ","Wednesday",297629
" DUNDAS ST E ","Monday",271272
" DUNDAS ST E ","Saturday",36728
" DUNDAS ST E ","Thursday",108928
" DUNDAS ST E ","Tuesday",37072
" DUNDAS ST W ","Monday",338376
" DUNDAS ST W ","Saturday",408113
" DUNDAS ST W ","Thursday",346240
" DUNDAS ST W ","Tuesday",372647
" DUNDAS ST W ","Wednesday",399317
" DUPLEX AVE ","Monday",14066
" DUPLEX AVE ","Wednesday",16914
" DUPONT ST ","Monday",27742
" DUPONT ST ","Saturday",98570
" DUPONT ST ","Thursday",76124
" DUPONT ST ","Wednesday",48152
" DWIGHT AVE ","Thursday",7102
" DWIGHT AVE ","Wednesday",8602
" EASTERN AVE ","Monday",96553
" EASTERN AVE ","Saturday",55170
" EASTERN AVE ","Tuesday",39100
" EASTERN AVE ","Wednesday",16697
" EGLINTON AVE E ","Friday",26250
" EGLINTON AVE E ","Monday",672554
" EGLINTON AVE E ","Saturday",140274
" EGLINTON AVE E ","Thursday",472236
" EGLINTON AVE E ","Tuesday",172164
" EGLINTON AVE E ","Wednesday",497581
" EGLINTON AVE W ","Monday",883869
" EGLINTON AVE W ","Saturday",138963
" EGLINTON AVE W ","Thursday",310155
" EGLINTON AVE W ","Tuesday",327624
" EGLINTON AVE W ","Wednesday",157854
" ELLESMERE RD ","Monday",208381
" ELLESMERE RD ","Saturday",198304
" ELLESMERE RD ","Thursday",46368
" ELLESMERE RD ","Tuesday",187134
" ELLESMERE RD ","Wednesday",85819
" ESTHER SHINER BLVD ","Monday",16118
" EVANS AVE ","Monday",12094
" EVANS AVE ","Saturday",13968
" EVANS AVE ","Thursday",28136
" EVANS AVE ","Tuesday",59059
" EVANS AVE ","Wednesday",94994
" FAIRVIEW MALL DR ","Monday",9786
" FAIRVIEW MALL DR ","Wednesday",57682
" FENMAR DR ","Monday",18044
" FINCH AVE E ","Monday",215393
" FINCH AVE E ","Saturday",185589
" FINCH AVE E ","Thursday",199000
" FINCH AVE E ","Tuesday",557880
" FINCH AVE E ","Wednesday",390454
" FINCH AVE W ","Friday",54936
" FINCH AVE W ","Monday",328783
" FINCH AVE W ","Saturday",31846
" FINCH AVE W ","Thursday",383947
" FINCH AVE W ","Tuesday",377494
" FINCH AVE W ","Wednesday",438288
" FORT YORK BLVD ","Wednesday",15848
" FRONT ST E ","Thursday",24488
" FRONT ST E ","Tuesday",27060
" FRONT ST E ","Wednesday",24674
" FRONT ST W ","Monday",61996
" FRONT ST W ","Tuesday",85282
" FRONT ST W ","Wednesday",57828
" GARDINER E PARK LAWN RD RAMP ","Tuesday",15914
" GATEWAY BLVD ","Monday",14234
" GATEWAY BLVD ","Tuesday",15448
" GERRARD ST E ","Monday",71951
" GERRARD ST E ","Saturday",16710
" GERRARD ST E ","Thursday",84806
" GERRARD ST E ","Tuesday",118098
" GERRARD ST E ","Wednesday",171008
" GERRARD ST W ","Wednesday",32235
" GRANTBROOK ST ","Wednesday",9046
" GREENWOOD AVE ","Monday",22120
" GREENWOOD AVE ","Tuesday",17682
" GUILDWOOD PKWY ","Thursday",15978
" GUNNS RD ","Wednesday",8832
" HALLAM ST ","Thursday",16650
" HARBORD ST ","Thursday",58926
" HARBORD ST ","Tuesday",45468
" HARBORD ST ","Wednesday",65712
" HARBOUR ST ","Tuesday",31810
" HIGHWAY 27 ","Saturday",48300
" HIGHWAY 27 ","Thursday",90978
" HIGHWAY 27 ","Tuesday",151546
" HIGHWAY 27 ","Wednesday",100670
" HORNER AVE ","Tuesday",17848
" HORNER AVE ","Wednesday",13752
" HOSKIN AVE ","Monday",19438
" HUMBER COLLEGE BLVD ","Monday",15342
" HUMBER COLLEGE BLVD ","Tuesday",21872
" HUMBER COLLEGE BLVD ","Wednesday",20274
" HUMBERWOOD BLVD ","Monday",16528
" HUNTINGWOOD DR ","Monday",16880
" IAN MACDONALD BLVD ","Monday",10995
" IAN MACDONALD BLVD ","Wednesday",13137
" INGRAM DR ","Thursday",14614
" ISLINGTON AVE ","Monday",75946
" ISLINGTON AVE ","Saturday",151466
" ISLINGTON AVE ","Thursday",262210
" ISLINGTON AVE ","Tuesday",315048
" ISLINGTON AVE ","Wednesday",293632
" JANE ST ","Monday",273135
" JANE ST ","Saturday",48802
" JANE ST ","Thursday",409373
" JANE ST ","Tuesday",465374
" JANE ST ","Wednesday",192976
" JARVIS ST ","Monday",25665
" JARVIS ST ","Saturday",38242
" JARVIS ST ","Thursday",66061
" JARVIS ST ","Tuesday",284928
" JARVIS ST ","Wednesday",153797
" KEELE ST ","Monday",130440
" KEELE ST ","Saturday",57531
" KEELE ST ","Thursday",251082
" KEELE ST ","Tuesday",670000
" KEELE ST ","Wednesday",136774
" KENNEDY RD ","Monday",121176
" KENNEDY RD ","Saturday",151691
" KENNEDY RD ","Thursday",503690
" KENNEDY RD ","Tuesday",278804
" KENNEDY RD ","Wednesday",132278
" KING ST E ","Monday",31892
" KING ST E ","Saturday",20293
" KING ST E ","Thursday",35422
" KING ST E ","Tuesday",97167
" KING ST E ","Wednesday",83026
" KING ST W ","Monday",82359
" KING ST W ","Saturday",86590
" KING ST W ","Thursday",201582
" KING ST W ","Tuesday",25487
" KING ST W ","Wednesday",246868
" KINGSTON RD ","Monday",235088
" KINGSTON RD ","Saturday",245284
" KINGSTON RD ","Thursday",477887
" KINGSTON RD ","Tuesday",148035
" KINGSTON RD ","Wednesday",631671
" KIPLING AVE ","Friday",86766
" KIPLING AVE ","Monday",102612
" KIPLING AVE ","Saturday",38424
" KIPLING AVE ","Thursday",188458
" KIPLING AVE ","Tuesday",473088
" KIPLING AVE ","Wednesday",196317
