id,user,created_at,text,clean_text
1004439734234599429,pauljadam,2018-06-06 19:07:48,Designing Web Content for watchOS - #WWDC 2018 - Videos - Apple Developer https://t.co/tmfEsKxJzu,Designing Web Content for watchOS  WWDC 2018  Videos  Apple Developer  
1004438784736448514,SleekDeals,2018-06-06 19:04:02,"🔥 Lowest Price!
Apple iPhone 6, Unlocked GSM for $170

https://t.co/miCqfwKTtg

#ios #geek #deals #tech #amazon #home #gifts #diy #design #style #fashion #wwdc #WWDC18 #WWDC2018 #men #women #dev #iphonex https://t.co/0X9mEBbyWD", Lowest Price Apple iPhone 6 Unlocked GSM for 170     ios geek deals tech amazon home gifts diy design style fashion wwdc WWDC18 WWDC2018 men women dev iphonex  
1004438232367394816,mootpointer,2018-06-06 19:01:50,"I loved @laurenstrehlow’s talk on Quality. Couldn’t help but have this going in my head. https://t.co/BZkiY4w3wx

(From one of my 7 month old son’s favourite records) #WWDC",I loved laurenstrehlows talk on Quality Couldnt help but have this going in my head    From one of my 7 month old sons favourite records WWDC
1004436896146165760,donmcallister,2018-06-06 18:56:32,Bye San Jose and #WWDC and my old and new friends. Been a blast but time to head home.,Bye San Jose and WWDC and my old and new friends Been a blast but time to head home
1004436710883618816,gtsifrikas,2018-06-06 18:55:48,The qualities of great design. Wow that was a very m well-crafted presentation! 👏 #WWDC,The qualities of great design Wow that was a very m wellcrafted presentation  WWDC
1004436118752727040,solJKlein,2018-06-06 18:53:26,From the drive in for #WWDC. Shooting from a car sort of combines the worlds of sport and landscape photography. :) https://t.co/38FCTwxIRW https://t.co/sO7q155eAj,From the drive in for WWDC Shooting from a car sort of combines the worlds of sport and landscape photography     
1004436069209657344,_ant_one,2018-06-06 18:53:15,Working on my Flutter app at the #WWDC labs. Kind of ironic. If you are near stop to said hi!. https://t.co/KG4KkwX75d,Working on my Flutter app at the WWDC labs Kind of ironic If you are near stop to said hi  
1004435503968444416,PlutoVR,2018-06-06 18:51:00,Who's down in San Jose for #WWDC ? What topics or sessions have piqued your interest? https://t.co/x2JeNZr89x #technews #devs #vrforgood #wwdc2018,Who's down in San Jose for WWDC  What topics or sessions have piqued your interest   technews devs vrforgood wwdc2018
1004434420764311552,Catfish_Man,2018-06-06 18:46:42,Heading over to Iguanas for burritos #wwdc,Heading over to Iguanas for burritos wwdc
1004434129537196032,cassler,2018-06-06 18:45:32,#Apple has announced a beta of #MapKitJS to take on Google Maps web embeds. Now you can get directions to that store that closed four years ago in the browser! #wwdc,Apple has announced a beta of MapKitJS to take on Google Maps web embeds Now you can get directions to that store that closed four years ago in the browser wwdc
1004433923403902976,timdgreen,2018-06-06 18:44:43,I didn’t realise you could combine effects. So cool! #wwdc #ios12 https://t.co/fCWPj0oFlW,I didnt realise you could combine effects So cool wwdc ios12  
1004433763533819906,B60uk,2018-06-06 18:44:05,The latest B60 Daily Mobile News! https://t.co/pC4YJqEvQq #wwdc18 #wwdc,The latest B60 Daily Mobile News   wwdc18 wwdc
1004433732294488064,StuFFmc,2018-06-06 18:43:57,Which lab or Apple engineer should I see for a question about the this keyboard on iOS? #wwdc,Which lab or Apple engineer should I see for a question about the this keyboard on iOS wwdc
1004433530414247936,StuFFmc,2018-06-06 18:43:09,Is there a summary of the new APIs for privacy on iOS 12?! #wwdc,Is there a summary of the new APIs for privacy on iOS 12 wwdc
1004433012237352960,iniitamo,2018-06-06 18:41:06,So this happened... I guess :). On Monday I picked up an Apple Design Award for our app BANDIMAL at WWDC 2018. Yay...? It truly is humbling to be awarded about the greatest honor in our industry. https://t.co/3yPd9je587 @Apple @YATATOY #wwdc #wwdc2018 #appledesignawards #bandimal https://t.co/e5wB2nYEIf,So this happened I guess  On Monday I picked up an Apple Design Award for our app BANDIMAL at WWDC 2018 Yay It truly is humbling to be awarded about the greatest honor in our industry   Apple YATATOY wwdc wwdc2018 appledesignawards bandimal  
1004432748260577280,designfeast,2018-06-06 18:40:03,“What #designers need to know about #Apple’s #WWDC announcements” https://t.co/2gHAkOTIqo by @JimMcCauley. #Tech ᔥ @Tom_May | 📷: Josh Edelson https://t.co/Me69PzqZyI,What designers need to know about Apples WWDC announcements   by JimMcCauley Tech  TomMay   Josh Edelson  
1004432497151655936,StuFFmc,2018-06-06 18:39:03,I need to go to a Dokumentation Lab.  They are confusing me ;) e.g. what’s new here?! https://t.co/JRWPxz6krr  #wwdc,I need to go to a Dokumentation Lab  They are confusing me  eg whats new here    wwdc
1004431425213325312,bontouch,2018-06-06 18:34:47,"One of the highlights at this year’s #WWDC is the AR hands-on area. Not sure anyone but Apple’s designers have these huge wooden tables at home, but lots of fun for sure. 😅🏆 https://t.co/HccjaTJAIG",One of the highlights at this years WWDC is the AR handson area Not sure anyone but Apples designers have these huge wooden tables at home but lots of fun for sure   
1004431332993220608,StuFFmc,2018-06-06 18:34:25,"This is good news, people. #wwdc #CarPlay. https://t.co/yvMYnuHvjI https://t.co/QZXh8mKm4r",This is good news people wwdc CarPlay    
1004431007821361153,jerols,2018-06-06 18:33:08,"Loved @samrosenthal's quote in @laurenstrehlow's #wwdc talk, summarized: being told isn't as much fun as discovering something for yourself.

Context was learning in games but applies to apps too. Throwing up a bunch of tooltips at the beginning is neither memorable or enjoyable",Loved samrosenthal's quote in laurenstrehlow's wwdc talk summarized being told isn't as much fun as discovering something for yourself  Context was learning in games but applies to apps too Throwing up a bunch of tooltips at the beginning is neither memorable or enjoyable
1004431004235325440,StuFFmc,2018-06-06 18:33:07,"iOS 12, macOS 10.12, you know, kind of the same right? ;-) #wwdc https://t.co/O9Qhtu9apE",iOS 12 macOS 1012 you know kind of the same right  wwdc  
1004429127154204672,mootpointer,2018-06-06 18:25:39,Word up to @themikestern dropping the jazz knowledge. I have a question: is “cool” different to “the cool”? #WWDC https://t.co/Ti37KKHFa9,Word up to themikestern dropping the jazz knowledge I have a question is cool different to the cool WWDC  
1004428865672900609,bontouch,2018-06-06 18:24:37,This morning we also enjoyed a great Women@WWDC breakfast featuring terrific panel discussions with female #WWDC scholarship winners from all over the world. https://t.co/ZSBMNlbH3E,This morning we also enjoyed a great WomenWWDC breakfast featuring terrific panel discussions with female WWDC scholarship winners from all over the world  
1004428854788669441,jerols,2018-06-06 18:24:35,"Just like cues like cleanliness and decor of a butcher shop instill trust that the food is quality, ""screenshots on the App Store and how you respond to customer reviews all communicates the quality of your app or game"" @laurenstrehlow #wwdc",Just like cues like cleanliness and decor of a butcher shop instill trust that the food is quality screenshots on the App Store and how you respond to customer reviews all communicates the quality of your app or game laurenstrehlow wwdc
1004428681740148736,virtudude,2018-06-06 18:23:53,"I might be a little biased because @10percent is featured in the session, but Shortcuts on Siri Watch Face is one of the most exciting features announced this year. It’s way more powerful than what was highlighted in the keynote. #wwdc",I might be a little biased because 10percent is featured in the session but Shortcuts on Siri Watch Face is one of the most exciting features announced this year Its way more powerful than what was highlighted in the keynote wwdc
1004427858188566528,i_am_fabs,2018-06-06 18:20:37,"Twitter: ""Shit."" 

#wwdc #wwdc18 #analytics 

https://t.co/NnnMVh3Mzt https://t.co/DYzYkegHXm",Twitter Shit   wwdc wwdc18 analytics      
1004427558899757056,steve_kuchta,2018-06-06 18:19:26,Really loving all the new touchbar features introduced at #WWDC.,Really loving all the new touchbar features introduced at WWDC
1004427419749625856,MGS_88,2018-06-06 18:18:52,"IBM vs Apple in 1992
#Windows #Macintosh 
#IBM #Apple #WWDC18 #wwdc #Computex2018 #computex https://t.co/MKGhoBFRo8",IBM vs Apple in 1992 Windows Macintosh  IBM Apple WWDC18 wwdc Computex2018 computex  
1004427418835275779,AlexKara15,2018-06-06 18:18:52,Core Location &amp; Mapping Labs are happening now until 12pm in Technology Lab 3 &amp; 5 - come say hi and bring questions! #WWDC,Core Location and Mapping Labs are happening now until 12pm in Technology Lab 3 and 5  come say hi and bring questions WWDC
1004426612270649344,KennyDevotion,2018-06-06 18:15:40,No new #iPhone at #WWDC is #Apple's big mistake: https://t.co/X6OCppWbKf,No new iPhone at WWDC is Apple's big mistake  
1004426407399886850,pj4533,2018-06-06 18:14:51,INTENSE definition file.  #wwdc,INTENSE definition file  wwdc
1004425645206753280,roshan_mirajkar,2018-06-06 18:11:49,"Disappointed to not see more Siri improvements at #WWDC. There has to be more openness and third party integrations. This is where Alexa is winning, along with better natural language processing",Disappointed to not see more Siri improvements at WWDC There has to be more openness and third party integrations This is where Alexa is winning along with better natural language processing
1004425555532541953,jwilker,2018-06-06 18:11:28,Hey #sciencefiction readers at #wwdc and @AltConference. I’ve got two copies of Space Rogues if anyone needs a summer read. Don’t wanna bring ‘me home :D https://t.co/czkKSD8z6a,Hey sciencefiction readers at wwdc and AltConference Ive got two copies of Space Rogues if anyone needs a summer read Dont wanna bring me home D  
1004425031949012998,atomicbird,2018-06-06 18:09:23,“Most documents are stored in the cloud nowadays” #wwdc,Most documents are stored in the cloud nowadays wwdc
1004424657523523584,corey_gwin,2018-06-06 18:07:54,"So, no new Macbook Pro announcement at #WWDC. I really would like to upgrade but I'm holding out. https://t.co/AvvkVlsEjY",So no new Macbook Pro announcement at WWDC I really would like to upgrade but I'm holding out  
1004424636027686912,Catfish_Man,2018-06-06 18:07:49,"Me: ok I’ll wander by the Swift lab to see if I can help!

Everyone: Codable? Codable? Codable?

Me: *hides behind @itaiferber and @millenomi*

#wwdc",Me ok Ill wander by the Swift lab to see if I can help  Everyone Codable Codable Codable  Me hides behind itaiferber and millenomi  wwdc
1004424367185498112,BackeliteAgency,2018-06-06 18:06:45,"A lot of people at the ""Qualities of Great Design"" talk at #WWDC right now. And we're here too. #apple https://t.co/5RtvWWm8f1",A lot of people at the Qualities of Great Design talk at WWDC right now And we're here too apple  
1004424152705523713,jerols,2018-06-06 18:05:53,Great job @gravicle &amp; @ayanonagon — loved the Siri Shortcuts session. Can't wait to use these APIs! #wwdc,Great job gravicle and ayanonagon  loved the Siri Shortcuts session Can't wait to use these APIs wwdc
1004423973239689216,baazus,2018-06-06 18:05:11,"Apple revealed it’s iOS12 with new features and increased privacy settings. https://t.co/FrK7ahkYeY 

#WWDC #apple #iOS #iOS12",Apple revealed its iOS12 with new features and increased privacy settings     WWDC apple iOS iOS12
1004422812499697664,VusionVR,2018-06-06 18:00:34,MarTech Today believes #Apple’s new version of #ARKit could be a game-changer for the #augmentedreality industry: https://t.co/wzObsuXE5y #WWDC,MarTech Today believes Apples new version of ARKit could be a gamechanger for the augmentedreality industry   WWDC
1004422669830258689,jonhutch,2018-06-06 18:00:00,"From @natjlevy on @geekwire ""This is a huge improvement over what #Siri could do before""

#Apple @_HairForceOne #WWDC18 #iOS #wwdc #ios12 https://t.co/vD4TgPpAow",From natjlevy on geekwire This is a huge improvement over what Siri could do before  Apple HairForceOne WWDC18 iOS wwdc ios12  
1004422428204961792,TechValor,2018-06-06 17:59:02,"Tonight on Wine Wednesday we GOTTA chat about #WWDC, #Huawei #Facebook and much much more!
@djeze416 @Scrumptyous1 @EmilyDBakerESQ 
https://t.co/UyPSlrCFLm https://t.co/JqqT8rNc2A",Tonight on Wine Wednesday we GOTTA chat about WWDC Huawei Facebook and much much more djeze416 Scrumptyous1 EmilyDBakerESQ     
1004421418140856320,patterson_home,2018-06-06 17:55:01,The IBM Workshop Day is underway in the Willow Glen rooms in the Marriott. Bring you laptop and get started now with Watson for #CoreML. #Altconf #wwdc https://t.co/v2FmOpiVNR,The IBM Workshop Day is underway in the Willow Glen rooms in the Marriott Bring you laptop and get started now with Watson for CoreML Altconf wwdc  
1004420299675389952,pmcg,2018-06-06 17:50:35,Transmit! at the disco #WWDC,Transmit at the disco WWDC
1004419575772078080,che1404,2018-06-06 17:47:42,#wwdc Visit 1 Infinite Loop ✅ https://t.co/Dp9u6xtLkO https://t.co/Tv756Z4xCs,wwdc Visit 1 Infinite Loop     
1004419568805269505,che1404,2018-06-06 17:47:41,#wwdc Visit Apple Park ✅ https://t.co/jugCsqYTKD https://t.co/fp70tztbFH,wwdc Visit Apple Park     
1004419432951746561,thecomputerclan,2018-06-06 17:47:08,"Krazy Ken watches the #WWDC 2018 keynote. Were his bets right? Enjoy the commentary super-cut…

WATCH: https://t.co/stYvDWtDot https://t.co/Sct13CAA1N",Krazy Ken watches the WWDC 2018 keynote Were his bets right Enjoy the commentary supercut  WATCH    
1004419152323469313,Archimage,2018-06-06 17:46:01,Need to catch up on #WWDC sessions I missed.,Need to catch up on WWDC sessions I missed
1004418493142503425,disruptivedean,2018-06-06 17:43:24,"Unless I missed it, there were various new additions to #FaceTime and #iMessage in #iOS12 announced at @Apple #WWDC... but no mention of RCS.

No surprises there, then. #ZombieTech",Unless I missed it there were various new additions to FaceTime and iMessage in iOS12 announced at Apple WWDC but no mention of RCS  No surprises there then ZombieTech
1004417955675897856,mcdevins,2018-06-06 17:41:16,Victory! #swiftshot #arkit2 #wwdc https://t.co/QgLptn3m9i,Victory swiftshot arkit2 wwdc  
