"location"	"opinion"	"count"
"Australia"	0	17
"Australia"	1	110
"Australia"	2	7
"Canada"	0	19
"Canada"	1	156
"Canada"	2	16
"France"	0	2
"France"	1	21
"France"	2	14
"Germany"	0	2
"Germany"	1	24
"Germany"	2	8
"None"	0	328
"None"	1	1499
"None"	2	223
"Other"	0	457
"Other"	1	2005
"Other"	2	350
"United Kingdom"	0	58
"United Kingdom"	1	437
"United Kingdom"	2	78
"United States"	0	197
"United States"	1	1110
"United States"	2	91
